OpenJ9,,,,,,,,,,,,ElasticSearch,,,,,,,,,,,,Total,,,,,,,,,,
ChatGPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),9,21,3,33,,T1 - Issue Anlys(S),37.5%,30.0%,25.0%,31.1%,,T1(S),11,24,5,40,,T1 - Issue Anlys(S),45.8%,34.3%,41.7%,37.7%,,T1(S),20,45,8,73,,T1 - Issue Anlys(S),41.7%,32.1%,33.3%,34.4%
T1(M),3,1,0,4,,T1 - Issue Anlys(M),50.0%,10.0%,0.0%,20.0%,,T1(M),3,2,0,5,,T1 - Issue Anlys(M),50.0%,20.0%,0.0%,25.0%,,T1(M),6,3,0,9,,T1 - Issue Anlys(M),50.0%,15.0%,0.0%,22.5%
T2,6,2,1,9,,T2 - Issue Trend,75.0%,25.0%,25.0%,45.0%,,T2,2,0,2,4,,T2 - Issue Trend,25.0%,0.0%,50.0%,20.0%,,T2,8,2,3,13,,T2 - Issue Trend,50.0%,12.5%,37.5%,32.5%
T3,0,3,7,10,,T3 - Issue Summary,0.0%,75.0%,43.8%,50.0%,,T3,0,3,7,10,,T3 - Issue Summary,0.0%,75.0%,43.8%,50.0%,,T3,0,6,14,20,,T3 - Issue Summary,0.0%,75.0%,43.8%,50.0%
T4,3,3,4,10,,T4 - Issue Labeling,50.0%,30.0%,100.0%,50.0%,,T4,4,5,1,10,,T4 - Issue Labeling,66.7%,50.0%,25.0%,50.0%,,T4,7,8,5,20,,T4 - Issue Labeling,58.3%,40.0%,62.5%,50.0%
T5,3,3,1,7,, T5 - Issue Backlog,50.0%,25.0%,50.0%,35.0%,,T5,5,3,0,8,, T5 - Issue Backlog,83.3%,25.0%,0.0%,40.0%,,T5,8,6,1,15,, T5 - Issue Backlog,66.7%,25.0%,25.0%,37.5%
Total,24,33,16,73,,Total,48.0%,28.9%,38.1%,35.4%,,Total,25,37,15,77,,Total,50.0%,32.5%,35.7%,37.4%,,Total,49,70,31,150,,Total,49.0%,30.7%,36.9%,36.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T#,Y/N,Fact,Sum,Total,,T#,,,,,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total,,T#,Y/N,Fact,Sum,Total
T1(S),12,38,5,55,,T1 - Issue Anlys(S),50.0%,54.3%,41.7%,51.9%,,T1(S),14,34,6,54,,T1 - Issue Anlys(S),58.3%,48.6%,50.0%,50.9%,,T1(S),26,72,11,109,,T1 - Issue Anlys(S),54.2%,51.4%,45.8%,51.4%
T1(M),4,2,1,7,,T1 - Issue Anlys(M),66.7%,20.0%,25.0%,35.0%,,T1(M),3,4,0,7,,T1 - Issue Anlys(M),50.0%,40.0%,0.0%,35.0%,,T1(M),7,6,1,14,,T1 - Issue Anlys(M),58.3%,30.0%,12.5%,35.0%
T2,6,2,2,10,,T2 - Issue Trend,75.0%,25.0%,50.0%,50.0%,,T2,3,1,2,6,,T2 - Issue Trend,37.5%,12.5%,50.0%,30.0%,,T2,9,3,4,16,,T2 - Issue Trend,56.3%,18.8%,50.0%,40.0%
T3,0,1,7,8,,T3 - Issue Summary,0.0%,25.0%,43.8%,40.0%,,T3,0,3,10,13,,T3 - Issue Summary,0.0%,75.0%,62.5%,65.0%,,T3,0,4,17,21,,T3 - Issue Summary,0.0%,50.0%,53.1%,52.5%
T4,3,4,3,10,,T4 - Issue Labeling,50.0%,40.0%,75.0%,50.0%,,T4,4,4,2,10,,T4 - Issue Labeling,66.7%,40.0%,50.0%,50.0%,,T4,7,8,5,20,,T4 - Issue Labeling,58.3%,40.0%,62.5%,50.0%
T5,4,4,1,9,, T5 - Issue Backlog,66.7%,33.3%,50.0%,45.0%,,T5,6,3,0,9,, T5 - Issue Backlog,100.0%,25.0%,0.0%,45.0%,,T5,10,7,1,18,, T5 - Issue Backlog,83.3%,29.2%,25.0%,45.0%
Total,29,51,19,99,,Total,58.0%,44.7%,45.2%,48.1%,,Total,30,49,20,99,,Total,60.0%,43.0%,47.6%,48.1%,,Total,59,100,39,198,,Total,59.0%,43.9%,46.4%,48.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
